cbsa,count_SELF,sum_SELF,share_SELF,count_INC,sum_INC,share_INC,count_entrep,sum_entrep,share_entrep,count_ba,sum_ba,share_ba
"Warsaw, IN",,,,,,,437.0,19.0,0.043478260869565216,,,
"Washington Court House, OH",,,,,,,95.0,5.0,0.05263157894736842,,,
"Washington, IN",,,,,,,100.0,4.0,0.04,,,
"Washington, NC",,,,,,,134.0,4.0,0.029850746268656716,,,
"Watertown, SD",,,,,,,150.0,13.0,0.08666666666666667,,,
"Watertown-Fort Atkinson, WI",,,,,,,507.0,34.0,0.0670611439842209,,,
"Watertown-Fort Drum, NY",,,,,,,471.0,19.0,0.040339702760084924,,,
"Wauchula, FL",,,,,,,37.0,0.0,0.0,,,
"Waycross, GA",,,,,,,147.0,9.0,0.061224489795918366,,,
"Weatherford, OK",,,,,,,117.0,4.0,0.03418803418803419,,,
"Weirton-Steubenville, WV-OH",,,,,,,396.0,20.0,0.050505050505050504,,,
"West Plains, MO",,,,,,,81.0,7.0,0.08641975308641975,,,
"West Point, MS",,,,,,,40.0,3.0,0.075,,,
"Wheeling, WV-OH",,,,,,,448.0,17.0,0.03794642857142857,,,
"Williamsport, PA",,,,,,,752.0,40.0,0.05319148936170213,,,
"Williston, ND",,,,,,,205.0,14.0,0.06829268292682927,,,
"Willmar, MN",,,,,,,202.0,14.0,0.06930693069306931,,,
"Wilmington, OH",,,,,,,212.0,8.0,0.03773584905660377,,,
"Wilson, NC",,,,,,,328.0,26.0,0.07926829268292683,,,
"Winchester, VA-WV",,,,,,,656.0,39.0,0.05945121951219512,,,
"Winfield, KS",,,,,,,1033.0,52.0,0.05033881897386254,,,
"Winnemucca, NV",,,,,,,71.0,2.0,0.028169014084507043,,,
"Winona, MN",,,,,,,317.0,13.0,0.04100946372239748,,,
"Wisconsin Rapids-Marshfield, WI",,,,,,,502.0,34.0,0.06772908366533864,,,
"Woodward, OK",,,,,,,64.0,3.0,0.046875,,,
"Worthington, MN",,,,,,,37.0,4.0,0.10810810810810811,,,
"Yankton, SD",,,,,,,93.0,8.0,0.08602150537634409,,,
"Zanesville, OH",,,,,,,307.0,14.0,0.04560260586319218,,,
