met2013,csa_m13,name_met2013,name_csa_m13
28020,100310,"kalamazoo-portage, mi","Kalamazoo-Battle Creek-Portage, MI"
12980,100310,"battle creek, mi","Kalamazoo-Battle Creek-Portage, MI"
40980,100474,"saginaw, mi","Saginaw-Midland-Bay City, MI"
13140,13140,"beaumont-port arthur, tx","Beaumont-Port Arthur, TX"
13380,13380,"bellingham, wa","Bellingham, WA"
13460,100140,"bend-redmond, or","Bend-Prineville, OR"
13740,13740,"billings, mt","Billings, MT"
13780,13780,"binghamton, ny","Binghamton, NY"
13820,100142,"birmingham-hoover, al","Birmingham-Hoover-Talladega, AL"
13900,13900,"bismarck, nd","Bismarck, ND"
13980,13980,"blacksburg-christiansburg-radford, va","Blacksburg-Christiansburg, VA"
14010,100145,"bloomington, il","Bloomington-Pontiac, IL"
14020,100144,"bloomington, in","Bloomington-Bedford, IN"
42540,42540,"scranton--wilkes-barre--hazleton, pa","Scranton--Wilkes-Barre, PA"
14260,100147,"boise city, id","Boise City-Mountain Home-Ontario, ID-OR"
14460,100148,"boston-cambridge-newton, ma-nh","Boston-Worcester-Providence, MA-RI-NH-CT"
49340,100148,"worcester, ma-ct","Boston-Worcester-Providence, MA-RI-NH-CT"
14740,100500,"bremerton-silverdale, wa","Seattle-Tacoma, WA"
14860,100408,"bridgeport-stamford-norwalk, ct","New York-Newark, NY-NJ-CT-PA"
15180,100154,"brownsville-harlingen, tx","Brownsville-Harlingen-Raymondville, TX"
31900,100360,"mansfield, oh","Mansfield-Ashland-Bucyrus, OH"
15380,100160,"buffalo-cheektowaga-niagara falls, ny","Buffalo-Cheektowaga-Olean, NY"
49180,100268,"winston-salem, nc","Greensboro--Winston-Salem--High Point, NC"
15500,100268,"burlington, nc","Greensboro--Winston-Salem--High Point, NC"
15540,100162,"burlington-south burlington, vt","Burlington-South Burlington-Barre, VT"
15940,100184,"canton-massillon, oh","Cleveland-Akron-Canton, OH"
15980,100163,"cape coral-fort myers, fl","Cape Coral-Fort Myers-Naples, FL"
16580,16580,"champaign-urbana, il","Champaign-Urbana, IL"
16620,100170,"charleston, wv","Charleston-Huntington-Ashland, WV-OH-KY"
16700,16700,"charleston-north charleston, sc","Charleston-North Charleston, SC"
16820,16820,"charlottesville, va","Charlottesville, VA"
16860,100174,"chattanooga, tn-ga","Chattanooga-Cleveland-Dalton, TN-GA"
16980,100176,"chicago-naperville-elgin, il-in-wi","Chicago-Naperville, IL-IN-WI"
17020,17020,"chico, ca","Chico, CA"
17140,100178,"cincinnati, oh-ky-in","Cincinnati-Wilmington-Maysville, OH-KY-IN"
17300,17300,"clarksville, tn-ky","Clarksville, TN-KY"
17660,100518,"coeur d'alene, id","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
17780,17780,"college station-bryan, tx","College Station-Bryan, TX"
17820,17820,"colorado springs, co","Colorado Springs, CO"
17860,100190,"columbia, mo","Columbia-Moberly-Mexico, MO"
17900,100192,"columbia, sc","Columbia-Orangeburg-Newberry, SC"
18140,100198,"columbus, oh","Columbus-Marion-Zanesville, OH"
18580,100204,"corpus christi, tx","Corpus Christi-Kingsville-Alice, TX"
33660,100380,"mobile, al","Mobile-Daphne-Fairhope, AL"
19300,100380,"daphne-fairhope-foley, al","Mobile-Daphne-Fairhope, AL"
19340,100209,"davenport-moline-rock island, ia-il","Davenport-Moline, IA-IL"
19380,100212,"dayton, oh","Dayton-Springfield-Kettering, OH"
19460,100290,"decatur, al","Huntsville-Decatur, AL"
19500,19500,"decatur, il","Decatur, IL"
19660,100422,"deltona-daytona beach-ormond beach, fl","Orlando-Lakeland-Deltona, FL"
19740,100216,"denver-aurora-lakewood, co","Denver-Aurora, CO"
