county,state_name,cbsa,fips,cbsa_code
Henry County,Virginia,"Martinsville, VA",51089,32300
Martinsville city,Virginia,"Martinsville, VA",51690,32300
Nodaway County,Missouri,"Maryville, MO",29147,32340
Cerro Gordo County,Iowa,"Mason City, IA",19033,32380
Worth County,Iowa,"Mason City, IA",19195,32380
Hormigueros Municipio,Puerto Rico,"Mayagüez, PR",72067,32420
Las Marías Municipio,Puerto Rico,"Mayagüez, PR",72083,32420
Mayagüez Municipio,Puerto Rico,"Mayagüez, PR",72097,32420
Graves County,Kentucky,"Mayfield, KY",21083,32460
Mason County,Kentucky,"Maysville, KY",21161,32500
Pittsburg County,Oklahoma,"McAlester, OK",40121,32540
Hidalgo County,Texas,"McAllen-Edinburg-Mission, TX",48215,32580
Pike County,Mississippi,"McComb, MS",28113,32620
Warren County,Tennessee,"McMinnville, TN",47177,32660
McPherson County,Kansas,"McPherson, KS",20113,32700
Crawford County,Pennsylvania,"Meadville, PA",42039,32740
Jackson County,Oregon,"Medford, OR",41029,32780
Crittenden County,Arkansas,"Memphis, TN-MS-AR",5035,32820
DeSoto County,Mississippi,"Memphis, TN-MS-AR",28033,32820
Marshall County,Mississippi,"Memphis, TN-MS-AR",28093,32820
Tate County,Mississippi,"Memphis, TN-MS-AR",28137,32820
Tunica County,Mississippi,"Memphis, TN-MS-AR",28143,32820
Fayette County,Tennessee,"Memphis, TN-MS-AR",47047,32820
Shelby County,Tennessee,"Memphis, TN-MS-AR",47157,32820
Tipton County,Tennessee,"Memphis, TN-MS-AR",47167,32820
Dunn County,Wisconsin,"Menomonie, WI",55033,32860
Merced County,California,"Merced, CA",6047,32900
Clarke County,Mississippi,"Meridian, MS",28023,32940
Kemper County,Mississippi,"Meridian, MS",28069,32940
Lauderdale County,Mississippi,"Meridian, MS",28075,32940
Audrain County,Missouri,"Mexico, MO",29007,33020
Ottawa County,Oklahoma,"Miami, OK",40115,33060
Broward County,Florida,"Miami-Fort Lauderdale-Pompano Beach, FL",12011,33100
Miami-Dade County,Florida,"Miami-Fort Lauderdale-Pompano Beach, FL",12086,33100
Palm Beach County,Florida,"Miami-Fort Lauderdale-Pompano Beach, FL",12099,33100
LaPorte County,Indiana,"Michigan City-La Porte, IN",18091,33140
Bell County,Kentucky,"Middlesborough, KY",21013,33180
Midland County,Michigan,"Midland, MI",26111,33220
Martin County,Texas,"Midland, TX",48317,33260
Midland County,Texas,"Midland, TX",48329,33260
Baldwin County,Georgia,"Milledgeville, GA",13009,33300
Hancock County,Georgia,"Milledgeville, GA",13141,33300
